code,name,spec,unit,category,cost,price,sale_price,avg_cost,created_at,stock_qty,purchase_qty_total,safety_stock
A508,虱目大浮5m,30kg,包,A2,570,700,670,526,2026/2/23 10:02,0,0,0
A509,烏魚料(沉),30kg,包,A9,505,630,600,505.001,2026/2/23 10:02,0,0,0
A512,烏魚料[浮],30kg,包,A9,610,730,700,610.083,2026/2/23 10:02,0,0,0
A513,尼羅魚中浮,30kg,包,A2,600,670,640,600,2026/2/23 10:02,0,0,0
A514,尼羅魚大浮,30kg,包,A2,600,670,640,600,2026/2/23 10:02,0,0,0
A515,尼羅魚苗,30kg,包,A2,0,0,0,0,2026/2/23 10:02,0,0,0
A516,尼羅幼魚,30kg,包,A2,495,570,540,495,2026/2/23 10:02,0,0,0
A517,尼羅成魚,30kg,包,A2,480,570,540,480,2026/2/23 10:02,0,0,0
A518,尼羅成魚,30kg,包,A2,526,0,550,0,2026/2/23 10:02,0,0,0
A519,文蛤後期,20kg,包,A4,570,680,650,570,2026/2/23 10:02,0,0,0
A520,文蛤加強,20kg,包,A4,670,770,740,665.697,2026/2/23 10:02,0,0,0
A530,虱目魚苗00號,30kg,包,A2,550,0,550,550,2026/2/23 10:02,0,0,0
A531,虱目魚苗,30kg,包,A2,505,0,505,505,2026/2/23 10:02,0,0,0
A532,虱目幼魚,30kg,包,A2,505,0,505,505,2026/2/23 10:02,0,0,0
A533,虱目成魚,30kg,包,A2,505,0,505,505,2026/2/23 10:02,0,0,0
A535,虱目小浮,30kg,包,A2,600,0,600,0,2026/2/23 10:02,0,0,0
A536,虱目中浮,30kg,包,A2,600,0,600,0,2026/2/23 10:02,0,0,0
A537,虱目大浮3·0,30kg,包,A2,600,0,600,600,2026/2/23 10:02,0,0,0
A538,虱目浮4·0,30kg,包,A2,600,660,600,600,2026/2/23 10:02,0,0,0
A539,虱目成魚(散裝),kg,kg,A2,14.47,0,14.47,14.47,2026/2/23 10:02,0,0,0
A540,鰻線料,20kg,包,A3,1380,0,1380,0,2026/2/23 10:02,0,0,0
A541,幼鰻料,20kg,包,A3,1330,0,1330,1330,2026/2/23 10:02,0,0,0
A542,成鰻料,20kg,包,A3,1140,0,1140,1140,2026/2/23 10:02,0,0,0
A544,幼鰻浮000號,20kg,包,A3,1360,0,1360,1360,2026/2/23 10:02,0,0,0
A545,幼鰻浮00號,20kg,包,A3,1340,0,1340,1340,2026/2/23 10:02,0,0,0
A546,幼鰻浮0號,20kg,包,A3,1320,0,1320,1320,2026/2/23 10:02,0,0,0
A547,幼鰻浮1號,20kg,包,A3,1260,0,1260,1240,2026/2/23 10:02,0,0,0
A548,幼鰻浮2號,20kg,包,A3,1320,0,1320,1260,2026/2/23 10:02,0,0,0
A549,鰻浮(午)料,20kg,包,A3,900,0,900,0,2026/2/23 10:02,0,0,0
A550,魚蝦0號,20kg,包,A1,720,0,720,0,2026/2/23 10:02,0,0,0
A551,魚蝦1號,20kg,包,A1,630,0,630,630,2026/2/23 10:02,0,0,0
A552,尼羅魚料,30,包,A2,495,0,495,495,2026/2/23 10:02,0,0,0
A553,尼羅成魚(散裝),kg,kg,A2,16.2,0,16.2,16.2,2026/2/23 10:02,0,0,0
A554,石班1~9號,20kg,包,B4,910,0,910,0,2026/2/23 10:02,0,0,0
A555,石班浮1~9號,20kg,包,B4,910,0,910,0,2026/2/23 10:02,0,0,0
A556,鱸魚浮0~9號,30kg,包,B2,1395,0,1395,1395,2026/2/23 10:02,0,0,0
A557,文蛤後期,20kg,包,A4,590,0,590,590,2026/2/23 10:02,0,0,0
A558,草蝦A0~3號,10kg,包,A1,405.9,0,405.9,405.9,2026/2/23 10:02,0,0,0
A559,文蛤強化料,20,包,A4,680,0,680,680,2026/2/23 10:02,0,0,0
A560,草蝦A4~5號,20kg,包,A1,792,0,792,792,2026/2/23 10:02,0,0,0
A561,合益虱目浮,30kg,包,A2,580,0,580,550,2026/2/23 10:02,0,0,0
A562,烏魚浮,30kg,包,A2,640,0,640,610,2026/2/23 10:02,0,0,0
A563,合益虱目魚苗0號,30kg,包,A2,450,0,450,450,2026/2/23 10:02,0,0,0
A564,合益虱目幼成魚,30kg,包,A2,450,0,450,450,2026/2/23 10:02,0,0,0
A565,烏魚結卵,30kg,包,A9,690,0,690,690,2026/2/23 10:02,0,0,0
A600,(海洋)虱目魚苗0號,30kg(1.4m),包,A2,460,530,500,0,2026/2/23 10:02,0,0,0
A601,(海洋)虱目魚苗1號,30kg(1.8m),包,A2,500,570,540,0,2026/2/23 10:02,0,0,0
A602,(海洋)虱目幼魚2號,30kg(2.2m),包,A2,515,570,540,515,2026/2/23 10:02,0,0,0
A603,(海洋)虱目成魚3號,30kg(2.5m),包,A2,500,570,540,500,2026/2/23 10:02,0,0,0
A604,(海洋)虱目加肥,30kg,包,A2,500,570,540,500,2026/2/23 10:02,0,0,0
A605,(海洋)虱目浮料1-2號,30kg(碎片),包,A2,590,670,670,585,2026/2/23 10:02,0,0,0
A606,(海洋)虱目浮料4號,30kg(1.5m),包,A2,590,700,670,0,2026/2/23 10:02,0,0,0
A607,(海洋)虱目浮料5號,30kg(2.0m),包,A2,545,650,620,0,2026/2/23 10:02,0,0,0
A608,(海洋)虱目浮料6號,30kg(3.0m),包,A2,605,690,660,595,2026/2/23 10:02,0,0,0
A609,(海洋)虱目浮料7號,30kg(4.0m),包,A2,605,690,660,615,2026/2/23 10:02,0,0,0
A610,(海洋)虱目浮料8號,30kg,包,A2,605,690,660,595,2026/2/23 10:02,0,0,0
A611,(海洋)白蝦1號,20kg(1.4m),包,A1,680,780,750,690,2026/2/23 10:02,0,0,0
A612,(海洋)白蝦2號,20kg(1.8m),包,A1,680,780,750,687.141,2026/2/23 10:02,0,0,0
A615,草蝦0ㄧ1號,10kg,包,A1,410,530,500,410,2026/2/23 10:02,0,0,0
A616,草蝦2號(1.2m),20kg,包,A1,850,960,930,850,2026/2/23 10:02,0,0,0
A617,草蝦3號(1.4m),20kg,包,A1,890,910,880,890,2026/2/23 10:02,0,0,0
A618,草蝦4號(1.6m),20kg,包,A1,800,910,880,800,2026/2/23 10:02,0,0,0
A619,魚蝦料(1.4m),30kg,包,A2,550,0,630,520,2026/2/23 10:02,0,0,0
A620,(海洋)幼鰻粉,20kg,包,A3,1260,1400,1350,0,2026/2/23 10:02,0,0,0
A621,(海洋)成鰻粉,20kg,包,A3,1130,1350,1300,1130,2026/2/23 10:02,0,0,0
A622,海小魚苗4號(1·2),20kg,包,B2,1050,0,1100,1050,2026/2/23 10:02,0,0,0
A623,海水魚苗(1.5),20kg,包,B2,1050,0,1100,1050,2026/2/23 10:02,0,0,0
A625,(海洋)文蛤料,20kg,包,A4,590,680,650,590,2026/2/23 10:02,0,0,0
A630,(海洋)浮鱸1號2.0m,30kg,包,B2,1290,1450,1400,0,2026/2/23 10:02,0,0,0
A631,(海洋)浮鱸2號3.0m,30kg,包,B2,1300,1450,1400,1310,2026/2/23 10:02,0,0,0
A632,(海洋)浮鱸3號4.0m,30kg,包,B2,1290,1450,1400,1300,2026/2/23 10:02,0,0,0
A633,(海洋)浮鱸4號5.0m,30kg,包,B2,1290,1450,1400,0,2026/2/23 10:02,0,0,0
A634,(海洋)浮鱸5號6.0m,30kg,包,B2,1290,1450,1400,0,2026/2/23 10:02,0,0,0
A635,(海洋)浮鱸6號7.5m,30kg,包,B2,1290,1450,1400,0,2026/2/23 10:02,0,0,0
A636,(海洋)浮鱸7號9.5m,30kg,包,B2,1290,1450,1400,0,2026/2/23 10:02,0,0,0
A640,(海洋)石班0號1.5m,20kg,包,A3,890,1050,1000,900,2026/2/23 10:02,0,0,0
A641,(海洋)石班1號2.0m,20kg,包,A3,870,1050,1000,870,2026/2/23 10:02,0,0,0
A642,(海洋)石班2號3.0m,20kg,包,A3,870,1050,1000,0,2026/2/23 10:02,0,0,0
A643,(海洋)石班3號405m,20kg,包,A3,870,1050,1000,0,2026/2/23 10:02,0,0,0
A644,(海洋)石班4號6.0m,20kg,包,A3,870,1050,1000,0,2026/2/23 10:02,0,0,0
A645,(海洋)石班5號8.0m,20kg,包,A3,870,1050,1000,0,2026/2/23 10:02,0,0,0
A646,(海洋)石班6號10.0m,20kg,包,A3,870,1050,1000,0,2026/2/23 10:02,0,0,0
A647,(海洋)石班7號12.0m,20kg,包,A3,870,1050,1000,0,2026/2/23 10:02,0,0,0
A654,(海洋)鰻浮5號,20kg,包,A3,1200,0,1310,2.5,2026/2/23 10:02,0,0,0
A701,石灰(孝),10kg,包,B1,70,85,80,57,2026/2/23 10:02,0,0,0
A702,石灰(忠),10kg,包,B1,66,95,90,58,2026/2/23 10:02,200,200,0
A703,生石灰,15kg,包,B1,120,150,140,87,2026/2/23 10:02,360,360,0
A704,生石灰(宜),20kg,包,B1,92,140,130,90,2026/2/23 10:02,0,0,0
A705,生石灰(和),20kg,包,B1,128,180,170,130,2026/2/23 10:02,450,450,0
A706,碳酸鈣,20kg,包,B1,62,95,85,56,2026/2/23 10:02,0,0,0
A707,石灰(粗),10KG,包,B2,44,85,80,0,2026/2/25 14:19,1300,1300,0
C001,福壽麥片,30kg,包,A6,456,530,500,456,2026/2/23 10:02,0,0,0
C001-1,福壽麥片(玉),30kg,包,A6,366,430,400,366,2026/2/23 10:02,0,0,0
C002,福壽麥片,20kg,包,A6,304,0,333.3,304,2026/2/23 10:02,0,0,0
C003,福壽全脂豆粉,50kg,包,A5,1040,1150,1100,1047.5,2026/2/23 10:02,0,0,0
C005,熟玉米片,30kg,包,A6,400,520,490,400,2026/2/23 10:02,0,0,0
C007,狗飼料,20kg,包,A6,680,830,800,680.001,2026/2/23 10:02,0,0,0
C008,福壽黃豆粉,50kg,包,A5,640,870,820,0,2026/2/23 10:02,0,0,0
C010,(福壽)虱目料2.3m,30kg,包,A2,430,500,470,0,2026/2/23 10:02,0,0,0
C013,虱目浮3號,30kg,包,A2,582,670,640,582,2026/2/23 10:02,0,0,0
C014,虱目浮4號,30,包,A2,582,670,640,582,2026/2/23 10:02,0,0,0
